1609781642732	"2000"	"3"	"1"	"1732"	-3	"1827"	-7	"US"	"779"	55	"PIT"	"DAY"	215
1609781666249	"2000"	"8"	"24"	"1039"	-1	"1254"	3	"DL"	"1220"	135	"ATL"	"PHL"	665
1609781666750	"2000"	"1"	"24"	"1810"	29	"1921"	30	"CO"	"719"	71	"IAH"	"DFW"	224
1609781695769	"2000"	"8"	"11"	"846"	-1	"1003"	-2	"TW"	"525"	77	"STL"	"OMA"	342
1609781696269	"2000"	"8"	"20"	"1048"	-7	"1121"	-14	"US"	"721"	33	"CLT"	"GSP"	75
1609781588192	"2000"	"7"	"22"	"757"	-3	"1257"	-13	"TW"	"440"	180	"LAS"	"STL"	1372
1609781588693	"2000"	"8"	"19"	"1435"	55	"1715"	34	"UA"	"796"	100	"ORD"	"ATL"	606
1609781624718	"2000"	"10"	"28"	"1009"	-4	"1340"	34	"AA"	"1482"	151	"DEN"	"DFW"	641
1609781625219	"2000"	"2"	"7"	"620"	0	"707"	-3	"AS"	"95"	47	"PDX"	"SEA"	129
1609781576685	"2000"	"10"	"2"	"1946"	1	"2208"	-25	"CO"	"1963"	202	"LGA"	"IAH"	1416
1609781577185	"2000"	"7"	"26"	"1814"	14	"2029"	11	"US"	"79"	315	"PIT"	"SFO"	2254
1609781705276	"2000"	"7"	"22"	"840"	0	"955"	0	"NW"	"353"	75	"MKE"	"MSP"	297
1609781705776	"2000"	"3"	"15"	"2035"	15	"2213"	11	"TW"	"91"	158	"STL"	"ABQ"	934
1609781684762	"2000"	"5"	"19"	"936"	26	"1118"	18	"DL"	"51"	282	"ATL"	"PDX"	2172
1609781685263	"2000"	"10"	"26"	"2041"	-2	"2219"	9	"CO"	"1885"	98	"IAH"	"TUL"	429
1609781708779	"2000"	"4"	"23"	"1002"	12	"1057"	5	"US"	"1882"	55	"PHL"	"BDL"	196
1609781709279	"2000"	"7"	"19"	"1625"	0	"1757"	-10	"DL"	"977"	92	"RIC"	"ATL"	481
1609781517137	"2000"	"4"	"5"	"727"	2	"831"	9	"UA"	"339"	124	"CID"	"DEN"	692
1609781517638	"2000"	"5"	"24"	"1358"	3	"1636"	-10	"NW"	"880"	98	"MEM"	"TPA"	656
1609781702273	"2000"	"9"	"4"	"721"	-4	"1048"	-16	"NW"	"718"	147	"MSP"	"LGA"	1020
1609781702774	"2000"	"5"	"8"	"1825"	0	"1917"	-3	"WN"	"311"	52	"DAL"	"LIT"	296
1609781633726	"2000"	"8"	"10"	"1239"	7	"1433"	-5	"AA"	"1327"	234	"DFW"	"SEA"	1660
1609781634226	"2000"	"10"	"26"	"756"	-4	"1131"	5	"AA"	"646"	155	"SLC"	"DFW"	988
1609781694768	"2000"	"3"	"6"	"1230"	-5	"1935"	-11	"NW"	"1820"	245	"RNO"	"DTW"	1903
1609781695268	"2000"	"12"	"9"	"1334"	9	"1549"	4	"WN"	"2001"	75	"LAS"	"ABQ"	487
1609781325479	"2000"	"6"	"25"	"1228"	7	"1324"	-2	"TW"	"279"	56	"IND"	"STL"	229
1609781325979	"2000"	"1"	"23"	"2315"	0	"500"	-7	"UA"	"152"	225	"SFO"	"ORD"	1846
1609781696770	"2000"	"11"	"19"	"1906"	6	"2146"	-14	"UA"	"1876"	100	"ORD"	"PHL"	678
1609781697270	"2000"	"6"	"5"	"1601"	1	"1615"	4	"TW"	"559"	74	"SDF"	"STL"	254
1609781459090	"2000"	"4"	"19"	"1622"	47	"1743"	47	"US"	"79"	81	"CLT"	"PIT"	366
1609781459591	"2000"	"9"	"23"	"1026"	-4	"1226"	-12	"US"	"473"	120	"PVD"	"CLT"	683
1609781594197	"2000"	"11"	"15"	"1202"	-8	"1529"	-1	"DL"	"2462"	207	"FLL"	"BOS"	1237
1609781594697	"2000"	"5"	"3"	"718"	-4	"838"	-12	"TW"	"565"	80	"FSD"	"STL"	471
1609781646235	"2000"	"8"	"11"	"913"	0	"1213"	-12	"AA"	"1662"	120	"DFW"	"ATL"	732
1609781646735	"2000"	"11"	"9"	"803"	-2	"954"	3	"AA"	"1347"	171	"MCO"	"DFW"	984
1609781554670	"2000"	"1"	"18"	"1205"	0	"1311"	-4	"CO"	"1610"	66	"CLE"	"DCA"	310
1609781555170	"2000"	"3"	"31"	"1439"	-1	"1729"	-24	"AA"	"1897"	170	"LGA"	"MIA"	1097
1609781635727	"2000"	"6"	"24"	"1951"	-5	"2226"	-6	"AS"	"231"	155	"SAN"	"SEA"	1050
1609781636227	"2000"	"10"	"14"	"700"	0	"752"	-3	"WN"	"1"	52	"DAL"	"HOU"	239
1609781649737	"2000"	"12"	"14"	"1810"	-4	"1946"	-8	"AA"	"890"	96	"MFE"	"DFW"	468
1609781650237	"2000"	"9"	"25"	"1840"	30	"1952"	27	"WN"	"758"	72	"MDW"	"BNA"	395
1609781586191	"2000"	"10"	"1"	"2137"	-7	"2358"	-12	"CO"	"1618"	141	"IAH"	"MKE"	984
1609781586691	"2000"	"6"	"29"	"2014"	-2	"2119"	-1	"AA"	"1239"	125	"RDU"	"ORD"	647
1609781698271	"2000"	"11"	"3"	"1543"	118	"1758"	121	"US"	"1225"	135	"PHL"	"ATL"	665
1609781698771	"2000"	"2"	"11"	"1813"	13	"1947"	7	"WN"	"1592"	94	"HOU"	"BNA"	670
1609781465096	"2000"	"6"	"27"	"1536"	1	"1655"	5	"DL"	"1951"	139	"ATL"	"OMA"	821
1609781465596	"2000"	"1"	"30"	"1441"	0	"1625"	-2	"UA"	"2763"	104	"DEN"	"PHX"	602
1609781654241	"2000"	"10"	"25"	"1749"	9	"1848"	0	"DL"	"1287"	119	"ATL"	"MCI"	692
1609781654741	"2000"	"12"	"28"	"801"	31	"850"	31	"UA"	"875"	109	"DSM"	"DEN"	589
1609781689265	"2000"	"11"	"6"	"1803"	53	"2037"	64	"AA"	"1428"	214	"MIA"	"ORD"	1197
1609781013649	"2000"	"1"	"20"	"1855"	195	"2036"	191	"WN"	"205"	101	"BHM"	"HOU"	570
1609781218869	"2000"	"5"	"19"	"2052"	103	"2319"	111	"US"	"1154"	147	"MCO"	"PIT"	834
1609781043179	"2000"	"7"	"12"	"1233"	33	"1537"	82	"UA"	"101"	304	"ORD"	"LAX"	1745
1609781467599	"2000"	"6"	"20"	"1658"	20	"1900"	67	"HP"	"676"	242	"STL"	"PHX"	1262
1609781049687	"2000"	"11"	"5"	"1633"	33	"1906"	79	"DL"	"599"	213	"DFW"	"SLC"	988
1609781620215	"2000"	"8"	"11"	"2044"	170	"2201"	166	"UA"	"2172"	77	"SAN"	"SFO"	447
1609781280931	"2000"	"7"	"14"	"2009"	134	"2257"	117	"DL"	"1931"	288	"PHL"	"SLC"	1926
1609781590694	"2000"	"4"	"23"	"1023"	84	"1302"	50	"CO"	"1477"	339	"EWR"	"SNA"	2433
1609781276927	"2000"	"10"	"8"	"1722"	-2	"2008"	6	"US"	"2254"	166	"PHL"	"TPA"	920
1609781045181	"2000"	"4"	"18"	"1915"	105	"2113"	133	"US"	"785"	118	"BOS"	"PHL"	280
1609781201852	"2000"	"2"	"27"	"924"	0	"1055"	5	"CO"	"1041"	151	"IAH"	"DEN"	861
1609781193343	"2000"	"5"	"21"	"1311"	6	"2101"	48	"DL"	"426"	290	"SAN"	"ATL"	1891
1609781361515	"2000"	"9"	"15"	"647"	17	"1243"	21	"UA"	"1094"	236	"SAN"	"ORD"	1723
1609781215365	"2000"	"3"	"18"	"1955"	70	"2203"	50	"AA"	"89"	248	"ORD"	"LAX"	1745
1609781196346	"2000"	"2"	"27"	"1655"	55	"1925"	120	"WN"	"90"	150	"SAN"	"SFO"	447
1609781210860	"2000"	"9"	"4"	"1836"	36	"2052"	67	"CO"	"362"	136	"EWR"	"BOS"	200
1609781187837	"2000"	"7"	"12"	"903"	-2	"1011"	-3	"US"	"1456"	68	"PIT"	"RDU"	328
1609780979105	"2000"	"5"	"18"	"827"	-3	"1318"	8	"AA"	"1398"	171	"PSP"	"DFW"	1126
1609781686763	"2000"	"6"	"12"	"2220"	219	"2312"	246	"UA"	"1643"	112	"OKC"	"DEN"	495
1609781449084	"2000"	"8"	"11"	"1907"	67	"1958"	57	"UA"	"631"	111	"DCA"	"ORD"	612
1609781479111	"2000"	"2"	"12"	"838"	-2	"1018"	2	"DL"	"1409"	160	"MCI"	"SLC"	919
1609780999633	"2000"	"2"	"19"	"920"	45	"1217"	77	"WN"	"294"	237	"PVD"	"MCI"	1234
1609781240892	"2000"	"6"	"27"	"918"	8	"1035"	10	"WN"	"1253"	137	"MCO"	"IND"	828
1609781473107	"2000"	"5"	"31"	"1226"	42	"1550"	118	"UA"	"939"	324	"ORD"	"SEA"	1721
1609781619715	"2000"	"3"	"11"	"1808"	68	"2022"	75	"NW"	"286"	134	"DTW"	"ATL"	594
1609781441078	"2000"	"9"	"23"	"640"	0	"1312"	-17	"DL"	"1464"	212	"LAS"	"CVG"	1678
1609781600702	"2000"	"1"	"19"	"933"	7	"1112"	9	"CO"	"1221"	219	"IAH"	"SNA"	1347
1609781631723	"2000"	"4"	"17"	"1655"	36	"1912"	46	"AS"	"420"	137	"PDX"	"BUR"	817
1609781693267	"2000"	"9"	"19"	"1736"	6	"1902"	-15	"UA"	"527"	146	"BOS"	"ORD"	867
1609781451085	"2000"	"4"	"29"	"2003"	75	"2336"	62	"TW"	"152"	153	"STL"	"BOS"	1046
1609781028664	"2000"	"7"	"28"	"1540"	10	"2130"	1	"AA"	"308"	230	"SEA"	"DFW"	1660
1609781170819	"2000"	"7"	"12"	"2212"	7	"56"	65	"DL"	"1533"	164	"ATL"	"PBI"	545
1609781038174	"2000"	"8"	"24"	"629"	-6	"1007"	-4	"DL"	"1906"	158	"SAT"	"CVG"	1024
1609781567679	"2000"	"6"	"27"	"1140"	203	"1301"	210	"AA"	"530"	81	"MSP"	"ORD"	334
1609781015151	"2000"	"1"	"27"	"1912"	82	"2030"	90	"WN"	"205"	198	"HOU"	"LAS"	1235
1609781665249	"2000"	"1"	"27"	"1714"	130	"2006"	132	"US"	"791"	232	"SJU"	"CLT"	1474
1609781711280	"2000"	"5"	"29"	"2021"	174	"100"	162	"AA"	"1726"	219	"DFW"	"BOS"	1562
1609781102741	"2000"	"5"	"21"	"2255"	145	"158"	133	"WN"	"698"	123	"STL"	"MCO"	880
1609781632724	"2000"	"5"	"10"	"1632"	157	"2204"	399	"CO"	"27"	332	"EWR"	"CLE"	404
1609781117757	"2000"	"6"	"20"	"910"	0	"1625"	-25	"WN"	"1764"	255	"LAS"	"BWI"	2106
1609781682761	"2000"	"10"	"6"	"833"	3	"1030"	30	"UA"	"1647"	237	"TPA"	"DEN"	1506
1609781275426	"2000"	"4"	"20"	"1224"	162	"1845"	214	"AA"	"1104"	261	"PHX"	"ORD"	1440
1609781117256	"2000"	"7"	"11"	"1546"	6	"1658"	20	"UA"	"1459"	132	"ATL"	"ORD"	606
1609781218369	"2000"	"5"	"21"	"834"	-1	"1222"	-23	"AA"	"1403"	168	"ORD"	"MIA"	1197
